State,Year,Cancer_Type,Age_Group,Gender,Population,People_Screened,Smoking_Percent,Pollution_Index,New_Cases,Deaths,Recovered,Incidence_per_100k,Mortality_per_100k,Avg_Treatment_Cost_INR,Available_Hospital_Beds
Chhattisgarh,2012,Oral,75+,Male,3721426,71529,11.68,123.7,67,35,33,1.8,0.94,485338,2438
Tamil Nadu,2011,Ovarian,60-74,Female,2080207,45289,22.83,242,34,19,22,1.634,0.913,,4125
Himachal Pradesh,2017,Prostate,60-74,Female,2390518,183514,36.38,102,49,14,,2.05,,410329,4597
Madhya Pradesh,2023,Stomach,0-14,Female,1222804,22572,43.83,131.2,19,,11,1.554,,167365,
Karnataka,2023,Breast,15-29,Female,537010,113611,,240.7,5,,3,0.931,0.372,176881,2764
Jharkhand,2020,Cervical,0-14,Female,1533031,19591,13.44,,16,5,8,1.044,0.326,197338,686
Telangana,2025,Colorectal,45-59,Male,5944833,182525,9.09,41,77,25,53,1.295,0.421,358307,78
Himachal Pradesh,2020,Liver,0-14,Male,2868607,81245,23.73,144.9,48,24,29,1.673,0.837,396328,4885
Madhya Pradesh,2014,Stomach,30-44,Male,1019003,12390,18.46,,14,,5,1.374,0.687,,3562
Rajasthan,2014,Colorectal,30-44,Male,5679319,163689,,215.1,93,57,56,1.638,1.004,,4465
Telangana,2020,Leukemia,45-59,Female,2999979,194071,34.29,,48,21,31,1.6,0.7,329703,1317
Tamil Nadu,2018,Liver,75+,Female,1153806,64627,40.65,260.3,22,4,10,1.907,0.347,383507,
Andhra Pradesh,2025,Oral,15-29,Female,3820828,140600,10.53,255.4,59,37,,1.544,0.968,282903,428
Odisha,2015,Colorectal,15-29,Female,641566,112130,14.56,107.6,12,,4,1.87,0.935,134542,
Himachal Pradesh,2015,Breast,75+,Male,1719580,129828,20.19,,25,6,,1.454,0.349,165191,3483
Tamil Nadu,2010,Oral,15-29,Female,1852093,125855,6.4,293.3,34,18,17,1.836,0.972,62018,1647
Uttar Pradesh,2025,Cervical,60-74,Male,2172006,81445,28.52,195.3,38,18,23,1.75,0.829,467882,4092
Rajasthan,2017,Breast,60-74,Female,1175445,46328,31.42,84.7,22,,9,1.872,0.936,116469,1463
Himachal Pradesh,2021,Cervical,30-44,Male,1562470,22444,,89.5,22,5,7,1.408,0.32,454244,183
Gujarat,2016,Colorectal,60-74,Female,1793133,147770,5.6,89,23,14,12,1.283,0.781,202279,803
Madhya Pradesh,2017,Colorectal,45-59,Male,1424348,181464,43.54,44.3,31,16,14,2.176,1.123,236115,288
Chhattisgarh,2010,Breast,30-44,Female,6198717,139916,37.3,230.2,104,22,64,1.678,0.355,207683,4581
Telangana,2014,Colorectal,0-14,Male,5769187,,5.63,149.4,105,,44,1.82,1.075,296557,1020
Madhya Pradesh,2021,Leukemia,30-44,Male,3645401,120161,40.3,218.2,64,29,28,,0.796,318613,3732
Punjab,2019,Cervical,15-29,Female,2476017,139772,10.51,107.3,39,21,15,1.575,0.848,246124,
Tamil Nadu,2020,Liver,45-59,Female,1742297,118781,,218.1,33,16,,1.894,0.918,493911,2421
Karnataka,2012,Ovarian,0-14,Female,2886264,65752,23.9,271.2,49,,15,1.698,1.005,,2309
Odisha,2021,Colorectal,60-74,Female,6557738,32048,16.51,,100,43,49,1.525,0.656,,1883
Tamil Nadu,2012,Ovarian,0-14,Male,748179,168985,5.83,297.4,16,6,,2.139,0.802,422949,2718
Assam,2015,Prostate,30-44,Male,7929113,65026,19.83,27.4,149,71,73,1.879,0.895,,4696
Punjab,2024,Oral,45-59,Female,1408522,185861,7.81,21.7,22,4,15,1.562,0.284,,1190
Uttar Pradesh,2015,Leukemia,0-14,Female,6564963,48122,41.83,237.9,121,55,58,1.843,,487947,4292
Odisha,2013,Breast,45-59,Male,7076864,71404,,191.9,123,60,52,1.738,0.848,347367,1756
Uttar Pradesh,2014,Breast,30-44,Male,6317557,190033,36.68,182,100,39,31,,,473670,4821
Andhra Pradesh,2019,Ovarian,0-14,Male,7310929,125851,19.35,,144,61,75,1.97,0.834,408650,3649
Madhya Pradesh,2019,Colorectal,30-44,Male,6562088,148443,36.67,159.8,102,36,,1.554,0.549,284595,1554
Punjab,2012,Liver,60-74,Male,1859567,64543,21,152.5,35,8,18,1.882,0.43,475726,4958
Bihar,2021,Oral,30-44,Male,7108895,162160,42.78,93.8,135,85,,1.899,1.196,71752,1644
Maharashtra,2016,Cervical,30-44,Male,5759934,33343,7,89.8,95,22,34,1.649,0.382,436626,113
West Bengal,2017,Colorectal,45-59,Male,6928814,38083,12.46,135.4,122,54,57,1.761,0.779,223480,2344
Madhya Pradesh,2010,Liver,30-44,Male,7593089,58149,23.2,222.1,132,,47,1.738,1.093,187605,973
Haryana,2011,Prostate,0-14,Male,4291732,123712,8.89,257.5,64,33,20,1.491,0.769,229415,3121
Rajasthan,2021,Colorectal,30-44,Male,6843680,43619,21.46,226.2,117,72,37,1.71,1.052,373053,783
Uttar Pradesh,2018,Prostate,0-14,Female,4253880,153897,43.86,141.4,74,30,35,1.74,,82043,2284
Maharashtra,2023,Breast,45-59,Female,4009065,57744,33.29,51.9,67,17,27,,0.424,349166,1468
Rajasthan,2019,Cervical,75+,Female,7174741,158812,24.91,135,124,51,56,1.728,0.711,290484,224
West Bengal,2023,Liver,0-14,Male,6171411,52543,40.48,223.8,102,55,35,,0.891,103702,3579
Bihar,2020,Leukemia,75+,Female,660975,125190,39.32,37.6,8,2,4,,0.303,104178,3832
Odisha,2024,Stomach,45-59,Male,2141862,33170,23.34,192.8,40,14,23,1.868,0.654,104425,1518
Bihar,2022,Leukemia,75+,Male,2954785,,44.65,161.8,45,11,,1.523,0.372,402713,2003
Punjab,2016,Prostate,15-29,Male,5072488,9805,24.19,209.8,82,45,,,0.887,67220,4289
Kerala,2019,Prostate,15-29,Male,2131675,137516,,,37,9,11,1.736,,182301,507
Uttar Pradesh,2020,Leukemia,75+,Male,5247522,93457,32.55,38.9,81,,48,1.544,0.305,310793,1894
Jharkhand,2015,Oral,75+,Female,2052756,,20.47,128.8,35,19,18,1.705,0.926,51973,
Andhra Pradesh,2010,Leukemia,75+,Female,6977593,75480,,29,108,35,68,,0.502,360897,1873
Punjab,2010,Leukemia,0-14,Male,4839793,156904,26.73,210.6,68,28,31,1.405,0.579,137121,2228
Punjab,2011,Ovarian,75+,Male,571193,82168,,197,5,1,2,,0.175,138972,4030
Jharkhand,2012,Ovarian,45-59,Male,5384024,132381,13.32,262.4,84,,53,1.56,0.799,,3791
Madhya Pradesh,2022,Colorectal,15-29,Male,4676497,127106,25.31,,79,30,35,1.689,0.642,,
Haryana,2021,Liver,45-59,Male,3596561,18271,43.85,289.2,61,34,25,1.696,,84987,4308
Odisha,2018,Cervical,0-14,Female,1363582,194393,14.09,126.8,22,4,,1.613,0.293,180220,
Punjab,2015,Colorectal,45-59,Male,4873139,91260,25.93,161.8,86,23,33,1.765,0.472,115686,3029
Telangana,2021,Cervical,75+,Male,5851008,6200,,259.9,104,65,58,1.777,1.111,,1205
West Bengal,2018,Colorectal,15-29,Male,6643947,135308,18,42.2,113,62,56,1.701,,493308,2977
Kerala,2014,Leukemia,75+,Female,3651756,89460,35.28,249.5,59,28,30,1.616,0.767,324751,2690
Rajasthan,2022,Stomach,15-29,Male,2809529,17578,22.13,144.9,55,30,31,1.958,1.068,255187,4603
Karnataka,2012,Prostate,0-14,Male,1591828,154921,43.25,156.5,23,7,8,1.445,0.44,90862,4987
Tamil Nadu,2023,Liver,75+,Female,4292435,153624,37.44,174.6,68,40,35,1.584,0.932,381722,1574
Chhattisgarh,2012,Colorectal,30-44,Female,7983496,126053,7.96,32.5,123,49,78,1.541,,172028,601
Karnataka,2012,Liver,75+,Female,6407488,109793,41.5,67.4,123,25,72,1.92,0.39,408306,3064
Assam,2013,Prostate,0-14,Male,7963122,150111,,205.1,130,38,41,1.633,0.477,387914,
Chhattisgarh,2015,Ovarian,45-59,Female,7854723,99983,41,52.3,133,55,57,1.693,,355620,
Kerala,2021,Ovarian,0-14,Female,4975190,102022,,83.4,84,48,46,1.688,0.965,217097,3983
Jharkhand,2016,Breast,75+,Female,7586189,186377,,94,128,47,48,1.687,0.62,310453,4936
Jharkhand,2018,Liver,75+,Male,5414987,8357,34.92,70.8,89,35,32,1.644,0.646,253447,249
Jharkhand,2015,Liver,45-59,Male,7893619,127730,7.34,32.3,147,78,94,1.862,0.988,463015,
Haryana,2018,Oral,30-44,Male,2623712,46806,23.11,282,41,22,17,1.563,0.839,403191,3276
Punjab,2024,Cervical,75+,Male,5696283,134297,27.26,221.5,89,54,52,1.562,0.948,453278,932
Andhra Pradesh,2015,Prostate,75+,Female,7311288,112242,36.76,,128,73,41,1.751,0.998,133400,4264
Gujarat,2010,Ovarian,0-14,Female,3709161,,19.61,37.2,64,37,20,1.725,0.998,164244,965
Assam,2021,Stomach,75+,Female,1839755,181825,,285.6,29,17,14,1.576,,316892,4295
Haryana,2020,Prostate,30-44,Female,7642554,51442,35.86,46,148,64,93,1.937,0.837,341777,3141
Rajasthan,2017,Breast,0-14,Male,1605870,9602,33.15,259.5,20,4,10,1.245,0.249,44953,788
Telangana,2015,Prostate,0-14,Male,5975619,113006,16.67,74.9,96,20,57,1.607,0.335,409172,4686
Bihar,2011,Lung,45-59,Male,6313669,38906,,52.1,112,53,63,1.774,,473312,776
Karnataka,2010,Oral,45-59,Female,590150,98721,23.83,279.7,12,,4,2.033,1.017,125106,1395
Chhattisgarh,2016,Breast,45-59,Female,1702822,75979,10.49,75.2,29,8,11,1.703,0.47,52961,2356
Rajasthan,2016,Ovarian,0-14,Female,6823429,15000,22.67,76.5,110,,71,1.612,0.879,67067,114
Maharashtra,2025,Cervical,45-59,Male,2166775,73886,31.96,274.6,36,23,21,1.661,1.061,,3385
Gujarat,2013,Cervical,45-59,Male,5033696,89643,33.55,266.8,99,45,37,1.967,0.894,441667,3937
Delhi,2025,Breast,45-59,Male,5689943,143272,42.9,215.8,96,44,58,1.687,0.773,467951,883
Rajasthan,2013,Breast,45-59,Female,3207929,160855,,171.2,58,26,20,1.808,0.81,126807,3426
Chhattisgarh,2014,Ovarian,15-29,Male,3546359,188607,13.06,82.4,70,40,39,1.974,1.128,353779,4347
Karnataka,2016,Leukemia,30-44,Female,2094168,47534,,,36,14,24,1.719,0.669,,2383
Maharashtra,2017,Breast,75+,Female,981150,25955,33.98,132.1,16,,7,1.631,0.612,343870,1371
Delhi,2012,Stomach,0-14,Male,791487,55257,13.66,76,18,6,8,,0.758,113166,2856
Punjab,2023,Ovarian,0-14,Male,1755907,199972,,52.1,37,11,20,2.107,0.626,326933,2476
Andhra Pradesh,2019,Ovarian,0-14,Female,4258327,185070,24.22,203,77,39,34,1.808,0.916,171944,1708
Kerala,2016,Breast,30-44,Female,3021377,,28.25,204.6,55,20,30,1.82,0.662,356047,3844
Bihar,2019,Prostate,75+,Female,7691687,156499,33.74,185.9,122,25,52,1.586,0.325,,4742
Haryana,2017,Colorectal,15-29,Male,4647241,,9.07,56.1,86,52,53,1.851,1.119,,4995
Karnataka,2016,Breast,0-14,Female,1990745,,41.49,47.1,29,5,,1.457,0.251,288882,577
Himachal Pradesh,2012,Colorectal,30-44,Female,3338466,169743,10.81,34.3,63,35,42,1.887,1.048,326529,
Rajasthan,2025,Lung,0-14,Female,6851251,24537,44.24,112.7,107,41,72,1.562,0.598,115293,2926
Punjab,2014,Stomach,15-29,Female,4712999,,7.75,184.5,66,36,,1.4,0.764,181011,451
Tamil Nadu,2022,Breast,75+,Male,7094152,123283,,142.1,114,,,1.607,0.916,291950,2415
Himachal Pradesh,2014,Cervical,0-14,Female,4910100,27516,40.2,126.9,80,47,44,1.629,0.957,216039,1671
Haryana,2010,Cervical,15-29,Female,4750053,12618,32.79,105.1,77,,32,1.621,,398535,424
Telangana,2016,Lung,15-29,Female,7017260,164724,34.18,213.7,120,64,,1.71,0.912,121690,
Gujarat,2021,Ovarian,0-14,Male,6644448,,38.53,54.5,110,,39,,0.361,194219,3627
Haryana,2010,Stomach,60-74,Female,7767996,22596,18.22,109.7,109,,33,1.403,0.695,369490,2246
Karnataka,2011,Lung,45-59,Male,3919491,75741,42.44,178.5,70,36,29,1.786,0.918,243338,2194
Gujarat,2022,Liver,0-14,Female,7127257,32032,42.88,,142,67,,1.992,,,2908
Odisha,2010,Cervical,0-14,Female,6122925,87789,30.78,257.5,113,27,67,1.846,0.441,399700,749
Punjab,2022,Stomach,75+,Female,6341617,185402,33.03,244.4,103,56,35,1.624,0.883,417896,2194
Chhattisgarh,2013,Prostate,45-59,Male,734873,110882,16.83,138.1,11,4,7,1.497,0.544,421371,635
Odisha,2023,Ovarian,0-14,Male,4996376,170671,,,95,61,60,,1.221,261529,1130
Assam,2013,Stomach,75+,Female,3596277,175905,35.78,275.4,46,26,29,1.279,0.723,227693,4884
Karnataka,2013,Ovarian,15-29,Male,2978890,82114,22.67,,50,28,32,1.678,0.94,197206,1934
Uttar Pradesh,2016,Breast,60-74,Female,3566058,82832,30.85,87.2,56,18,33,,0.505,37824,4170
Bihar,2012,Leukemia,15-29,Female,7622516,194835,,,119,45,67,1.561,0.59,,1743
Odisha,2025,Leukemia,60-74,Male,6149240,129168,28.41,193,111,49,34,1.805,0.797,151935,
Tamil Nadu,2017,Lung,0-14,Female,6539395,,28.86,164.6,135,37,69,2.064,0.566,157056,1746
Telangana,2012,Liver,30-44,Male,2732371,92147,9.43,124.5,39,17,22,1.427,0.622,392720,4167
Assam,2016,Oral,75+,Female,5133229,122236,,174.4,86,55,49,1.675,1.071,336113,1215
Telangana,2012,Ovarian,15-29,Male,6861811,164827,40.45,200.2,118,53,70,1.72,0.772,493041,316
Kerala,2015,Leukemia,0-14,Male,6635163,196874,20.3,202.1,122,71,,1.839,,442996,
Odisha,2011,Liver,15-29,Female,1350422,25798,6.64,232.7,21,5,6,1.555,0.37,,1189
Bihar,2019,Liver,30-44,Female,2848691,115564,12.65,34.1,49,27,16,1.72,0.948,345676,2146
Bihar,2011,Prostate,75+,Female,3402578,42152,16.67,173.7,59,16,29,1.734,0.47,54545,1781
Bihar,2011,Cervical,60-74,Male,1393473,162331,33.49,140.8,25,,11,1.794,,138295,4009
Bihar,2017,Breast,0-14,Male,7288325,155442,21.85,,109,68,76,1.496,0.933,203184,1216
Jharkhand,2011,Cervical,30-44,Male,5493281,150199,34.01,221.8,66,18,30,,0.328,136172,
Punjab,2011,Oral,75+,Female,1109372,74620,17.73,34.2,15,3,4,1.352,,115818,2844
Assam,2022,Colorectal,15-29,Male,3817708,108586,42.48,36,55,31,,1.441,0.812,100783,4095
Assam,2020,Oral,30-44,Female,7574539,119959,19.46,125.3,140,60,80,1.848,0.792,382087,3870
Jharkhand,2019,Ovarian,45-59,Female,2235635,162037,29.9,241.8,45,17,24,2.013,0.76,70455,2354
Chhattisgarh,2020,Ovarian,30-44,Female,826954,19380,22.42,169.4,11,6,4,,0.726,418193,4728
Kerala,2012,Oral,15-29,Male,544838,123040,34.2,273.3,6,,2,,0.367,359484,1488
Haryana,2019,Ovarian,60-74,Male,3861354,,5.78,,82,,26,,,338089,272
Jharkhand,2011,Colorectal,0-14,Male,6655942,156224,36.06,51.9,129,35,48,1.938,0.526,407629,1818
Himachal Pradesh,2025,Ovarian,60-74,Male,6054083,5661,16.83,112,105,21,52,,0.347,370189,1561
West Bengal,2025,Ovarian,0-14,Male,7627923,17660,38.67,229,129,48,83,,0.629,171481,1535
Jharkhand,2022,Stomach,15-29,Female,4814096,130953,42.21,159.9,84,49,28,1.745,1.018,497072,2720
Jharkhand,2010,Prostate,75+,Female,7497210,31542,8.1,99.3,132,78,56,,1.04,434084,4409
Chhattisgarh,2025,Lung,75+,Male,6782692,16045,40.59,196.2,105,53,59,,,55930,3116
Haryana,2025,Cervical,15-29,Female,7821357,132593,44.44,165.2,131,76,76,1.675,0.972,202071,1657
Telangana,2020,Prostate,75+,Male,5682601,188108,10.7,283.1,92,54,54,1.619,0.95,54252,337
Maharashtra,2019,Colorectal,45-59,Female,4873382,69231,22.11,141.9,82,52,27,1.683,1.067,333216,3517
Assam,2020,Ovarian,0-14,Female,7536426,139168,26.51,193.6,124,45,77,1.645,0.597,224331,1659
Tamil Nadu,2025,Prostate,30-44,Male,2399402,198820,31.1,135.6,38,21,17,1.584,,487439,2764
Punjab,2012,Leukemia,45-59,Female,665264,73701,18.51,196.8,11,6,5,1.653,0.902,256074,275
Chhattisgarh,2010,Breast,75+,Female,4951919,,8.09,27.7,84,45,31,1.696,0.909,426345,4872
Assam,2025,Lung,0-14,Female,7177109,139517,34,,109,36,71,1.519,0.502,305344,4630
Odisha,2012,Liver,60-74,Female,2991701,143681,35.85,245,51,15,26,1.705,0.501,277193,411
Karnataka,2020,Lung,45-59,Female,1396593,95331,13.54,21.7,32,,20,2.291,0.644,239570,4960
Kerala,2021,Ovarian,15-29,Male,1474279,112453,38.75,289.2,22,14,11,1.492,0.95,220776,1103
Karnataka,2014,Breast,75+,Male,3544056,152945,14.07,,51,28,19,1.439,0.79,496327,1695
West Bengal,2018,Leukemia,75+,Female,6759266,107811,23.73,178.9,93,35,64,1.376,0.518,158064,2439
Chhattisgarh,2010,Liver,0-14,Male,3551907,107609,19.46,233.4,54,27,,1.52,0.76,103203,2620
Maharashtra,2011,Ovarian,30-44,Female,7875356,94722,13.14,,128,48,,1.625,,374550,4792
Maharashtra,2013,Oral,15-29,Female,2066268,178321,25.54,272.9,32,,20,,0.532,352840,662
Bihar,2010,Stomach,15-29,Female,5762189,10745,30.77,,103,51,57,1.788,0.885,108699,3172
Telangana,2024,Leukemia,15-29,Female,5639072,42376,11.98,147.9,86,51,39,1.525,0.904,366040,3820
Karnataka,2017,Ovarian,15-29,Female,3687030,14991,6.57,83.3,65,31,30,1.763,0.841,313608,2771
Maharashtra,2024,Ovarian,75+,Male,606221,5855,41.95,272.2,14,3,8,2.309,0.495,263964,3212
Rajasthan,2022,Cervical,75+,Male,5507422,151624,12.45,48.2,97,24,52,1.761,0.436,253191,913
Andhra Pradesh,2014,Oral,60-74,Female,4837805,89366,15.01,197.9,77,32,32,1.592,0.661,,1076
Haryana,2010,Cervical,15-29,Male,3395359,147642,41.11,147.5,51,12,31,1.502,0.353,168672,2971
Himachal Pradesh,2021,Liver,15-29,Female,3264948,27585,22.88,119.3,50,14,29,1.531,0.429,205418,4355
Chhattisgarh,2022,Lung,75+,Female,5690863,39744,27.47,205.4,92,49,60,1.617,0.861,371977,263
Uttar Pradesh,2015,Colorectal,60-74,Male,1171375,194745,34.37,113.2,20,5,12,1.707,0.427,143765,1688
Maharashtra,2019,Lung,0-14,Male,3176945,57240,41.72,128.1,53,14,16,1.668,0.441,175242,2008
Rajasthan,2012,Breast,30-44,Female,3149912,138801,39.91,91.5,44,18,22,1.397,0.571,291387,1501
Haryana,2017,Colorectal,30-44,Male,4866204,80176,41.83,173.5,69,27,38,1.418,0.555,253142,3764
Rajasthan,2025,Breast,15-29,Female,608466,77864,34.25,,5,3,2,0.822,0.493,489895,3690
Bihar,2015,Stomach,60-74,Male,6821059,,27.02,212.2,115,37,79,1.686,0.542,102812,2170
Bihar,2025,Ovarian,60-74,Male,7545157,110204,26.36,70.1,109,39,,1.445,0.517,183423,2402
Gujarat,2014,Cervical,60-74,Female,1640689,89671,37.44,296.6,23,13,10,1.402,0.792,410034,1703
Andhra Pradesh,2014,Breast,45-59,Female,4252468,14052,24.52,68.8,65,40,26,1.529,0.941,48065,3477
Bihar,2013,Ovarian,15-29,Female,4394634,67860,21.99,173.4,78,33,28,,0.751,388948,3371
Bihar,2024,Colorectal,45-59,Female,5862546,23959,38.75,150.6,98,30,48,,0.512,472968,
Jharkhand,2023,Leukemia,30-44,Male,3628167,131758,27.16,55.3,66,17,28,1.819,,141010,4220
Uttar Pradesh,2018,Prostate,60-74,Female,7796946,96490,38.9,218.1,124,44,84,1.59,0.564,,237
Tamil Nadu,2016,Breast,60-74,Female,824645,20584,,128.3,13,7,5,1.576,0.849,312375,1743
Uttar Pradesh,2023,Leukemia,30-44,Female,2599072,182458,41.89,94.3,48,28,26,1.847,1.077,,
Chhattisgarh,2020,Cervical,75+,Female,6280324,168309,,39.9,97,60,55,1.545,0.955,116816,4399
West Bengal,2022,Colorectal,60-74,Male,4825753,109222,28.26,170.7,83,40,53,1.72,0.829,197929,3088
Andhra Pradesh,2024,Breast,45-59,Female,3711602,,27.04,28.8,58,33,34,,0.889,58319,3474
Karnataka,2012,Cervical,60-74,Female,902867,103928,16.88,76.9,15,6,10,1.661,0.665,,2722
Madhya Pradesh,2010,Cervical,0-14,Male,2751782,61160,17.89,229.8,43,21,17,1.563,0.763,436869,2439
Telangana,2014,Colorectal,60-74,Female,7522106,141199,14.86,254.3,130,39,72,1.728,0.518,222197,3467
Rajasthan,2018,Prostate,45-59,Female,1759048,74727,18.64,256.2,32,17,22,1.819,0.966,287461,2574
Haryana,2023,Breast,0-14,Female,4379299,171929,26.54,114.4,74,36,42,1.69,0.822,437574,2943
Delhi,2017,Prostate,30-44,Female,2492289,,21.45,66.2,46,24,30,1.846,0.963,121729,1724
Bihar,2021,Leukemia,60-74,Male,6842043,171041,23.84,200.9,125,42,82,1.827,0.614,36208,3217
Bihar,2023,Oral,60-74,Male,7491817,33878,39.61,208.5,118,61,39,1.575,0.814,324234,493
Karnataka,2015,Colorectal,0-14,Female,3690015,44296,,,56,19,36,,0.515,478636,188
Rajasthan,2015,Liver,0-14,Male,3041426,181860,44.68,,60,,33,1.973,,228815,2445
Maharashtra,2014,Oral,60-74,Male,5607731,191569,8.82,109.5,87,42,32,1.551,0.749,59262,4098
Chhattisgarh,2024,Oral,75+,Male,600807,182596,22.71,,4,,2,0.666,,176894,1177
Haryana,2022,Oral,15-29,Female,2824956,46839,36.15,78.1,49,24,29,1.735,0.85,107490,283
Rajasthan,2024,Ovarian,45-59,Female,6309184,18194,31.86,65.3,89,34,36,1.411,,90850,3580
Punjab,2021,Colorectal,30-44,Female,6225085,167269,15.16,88.2,102,,,1.639,0.53,417360,4533
Rajasthan,2019,Liver,30-44,Female,7709519,198095,12.74,259.4,129,33,74,1.673,0.428,108127,1197
Rajasthan,2023,Colorectal,60-74,Male,4562268,107724,31.34,78.2,83,,50,1.819,1.096,408354,4106
Telangana,2021,Colorectal,75+,Male,5192342,8626,42.54,32.4,69,41,42,1.329,,,
Madhya Pradesh,2024,Stomach,0-14,Male,3347949,82575,,294.6,56,13,22,1.673,0.388,335765,4677
Andhra Pradesh,2010,Breast,75+,Female,3451817,57564,40.34,279.2,44,11,30,1.275,0.319,316454,
Bihar,2020,Ovarian,30-44,Female,5454616,169266,31.37,256.8,77,32,26,1.412,0.587,347682,4675
Andhra Pradesh,2019,Lung,60-74,Male,1098819,146304,16.71,236.2,20,10,,1.82,0.91,101107,4376
Madhya Pradesh,2016,Stomach,60-74,Male,4578129,127933,29.76,109.6,76,47,52,1.66,1.027,228144,2338
Odisha,2011,Oral,60-74,Male,5570316,173218,18.44,60.5,86,41,57,1.544,,152983,2561
Jharkhand,2015,Colorectal,45-59,Male,4162889,84218,43.04,41.7,77,46,45,1.85,1.105,37760,
Bihar,2017,Prostate,0-14,Female,4861154,133252,35.68,187.3,89,,49,1.831,0.597,388737,532
Andhra Pradesh,2019,Oral,60-74,Female,7534631,109562,9.3,128.7,116,48,,1.54,,369175,
Bihar,2011,Lung,60-74,Female,2166344,92502,31.43,228,28,8,9,1.293,0.369,,58
Chhattisgarh,2016,Oral,60-74,Female,1896864,86597,9.68,215,26,9,10,1.371,0.474,,3426
Kerala,2022,Stomach,0-14,Male,4710020,181533,9.45,24.2,78,45,36,,0.955,97907,1825
Himachal Pradesh,2023,Oral,0-14,Female,2548751,92982,13.81,,45,21,15,1.766,0.824,355745,1689
Haryana,2019,Prostate,45-59,Female,2529572,127869,30.49,84.9,57,36,30,2.253,1.423,44960,606
Andhra Pradesh,2010,Ovarian,60-74,Female,6473162,20303,27.51,163,101,25,66,1.56,0.386,404191,880
Gujarat,2021,Leukemia,30-44,Male,6511671,47104,13.05,157.6,114,34,48,1.751,,298498,
Odisha,2024,Leukemia,0-14,Male,1346463,146331,16.65,283.1,27,17,16,2.005,1.263,117092,3827
Telangana,2015,Cervical,75+,Male,7222266,,16.29,183.8,114,48,72,1.578,0.665,247087,4631
Telangana,2020,Stomach,75+,Male,5456434,30591,,296.2,88,44,42,1.613,0.806,265142,2463
Assam,2015,Oral,75+,Male,3637182,54049,14.3,237,61,39,36,1.677,,374260,2122
Himachal Pradesh,2020,Leukemia,30-44,Male,3034029,65443,,106.4,57,14,29,1.879,0.461,112161,3677
West Bengal,2014,Lung,15-29,Male,6183448,,11.03,255.2,101,27,42,1.633,0.437,241901,209
Gujarat,2022,Liver,0-14,Female,640203,14233,5.16,63.5,9,3,5,1.406,0.469,114002,4676
Tamil Nadu,2018,Liver,15-29,Female,894720,34306,17.99,224.1,12,4,6,1.341,0.447,393752,815
Karnataka,2011,Cervical,30-44,Male,2688620,127883,23.68,132.8,58,,19,2.157,0.669,455491,2374
Karnataka,2016,Breast,30-44,Female,7413441,64031,21.7,236.6,134,68,72,1.808,0.917,281952,4379
Madhya Pradesh,2011,Liver,30-44,Male,1782627,116763,,173.8,31,12,18,1.739,,,682
Karnataka,2020,Ovarian,0-14,Female,3952673,48330,,98.6,81,35,,2.049,0.885,424083,3769
Assam,2010,Stomach,30-44,Female,5330121,65831,,173.1,94,30,63,,0.563,478346,461
Maharashtra,2024,Lung,45-59,Male,1608286,150955,14.78,273.9,31,19,14,1.928,1.181,95448,2690
Himachal Pradesh,2014,Lung,45-59,Female,1915540,152452,17.44,146.2,30,7,14,,0.365,334889,2199
Uttar Pradesh,2021,Leukemia,15-29,Male,3632571,61098,5.79,216.5,62,22,,1.707,0.606,490003,1900
Himachal Pradesh,2016,Oral,30-44,Male,4586673,22663,,101.7,71,41,47,1.548,0.894,136529,3207
Kerala,2016,Oral,75+,Female,1674943,22540,17.91,157,32,18,10,1.911,1.075,193513,
Rajasthan,2012,Leukemia,30-44,Male,1109625,84105,,185.5,15,3,10,1.352,0.27,225092,514
Haryana,2016,Leukemia,30-44,Female,5563557,54001,30.96,131.1,92,27,44,1.654,,227235,2078
Kerala,2015,Stomach,60-74,Male,6936879,168060,38.87,64.1,134,55,47,1.932,0.793,226001,2669
Maharashtra,2011,Cervical,0-14,Male,7267324,198705,44.55,187.4,122,67,73,1.679,0.922,267885,4431
Chhattisgarh,2012,Prostate,75+,Female,1548153,12687,35.73,296.3,21,,,1.356,0.775,480165,1719
Delhi,2011,Stomach,15-29,Female,1615717,41828,8.35,203.2,31,6,13,1.919,,453925,960
Andhra Pradesh,2015,Leukemia,15-29,Male,7413464,191561,36.92,179.8,108,45,45,1.457,0.607,141308,327
Andhra Pradesh,2024,Ovarian,45-59,Male,823073,,12.45,65.7,11,4,5,1.336,,156127,1890
Madhya Pradesh,2020,Ovarian,60-74,Male,7669277,172123,5.77,160.4,150,,70,1.956,0.913,290193,1992
Haryana,2022,Ovarian,0-14,Female,1201947,76105,31.82,57.8,20,5,7,1.664,0.416,251749,3666
Andhra Pradesh,2013,Prostate,15-29,Male,3395451,146876,35.42,61.8,54,25,34,1.59,0.736,444061,3079
Maharashtra,2025,Ovarian,75+,Male,2435730,21162,27.01,,38,7,23,1.56,0.287,408260,1387
Chhattisgarh,2020,Breast,60-74,Female,1509575,44312,12.99,194.1,33,6,18,2.186,0.397,22162,736
Assam,2013,Ovarian,15-29,Female,5589096,161431,18.27,270.4,80,49,38,1.431,,,3798
Rajasthan,2012,Stomach,30-44,Female,5083758,81639,39.92,79.9,88,,36,1.731,0.413,87206,
Kerala,2022,Breast,15-29,Female,2855124,146457,39.94,27.2,45,12,27,1.576,0.42,27198,4723
